id,Subject,Department,Session,Start,Finish,Venue,pub,created,edited
,Extended Degree in Engineering and Maths networking session and refreshments,Engineering/Maths/Physics,Network/Refreshments,12:30,13:30,Faculty Space STEM Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Extended Degree in Media Arts and Communication course talk,Media Arts & Comms,Subject Talk,11:00,11:30,Room 9132 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Extended Degree in Media Arts and Communication facilities tour,Media Arts & Comms,Tour,12:15,12:30,Room 9132 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Extended Degree in Media Arts and Communication taster session,Media Arts & Comms,Taster Session,11:30,12:00,Room 9132 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Extended Degree in Media Arts networking session with refreshments,Media Arts & Comms,Network/Refreshments,12:30,13:30,STEM Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Film and Media Production course talk,Media Arts & Comms,Subject Talk,11:00,11:45,Room 1025 Owen Building,1,15/01/2021 10:23,15/01/2021 10:23
,Film and Media Production facilities tour,Media Arts & Comms,Tour,12:15,12:45,Room 2301 Harmer Building,1,15/01/2021 10:23,15/01/2021 10:23
,Film and Media Production networking session with refreshments,Media Arts & Comms,Network/Refreshments,12:30,13:30,STEM Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Film and Media Production taster session,Media Arts & Comms,Taster Session,11:45,12:15,Room 2301 Harmer Building,1,15/01/2021 10:23,15/01/2021 10:23
,Food Engineering course talk,Engineering/Maths/Physics,Subject Talk,11:00,11:45,Room 3105 Eric Mensforth Building,1,15/01/2021 10:23,15/01/2021 10:23
,Food Engineering facilities tour,Engineering/Maths/Physics,Tour,11:45,12:30,Meet in Hertha Ayrton STEM Centre,1,15/01/2021 10:23,15/01/2021 10:23
,Food Engineering networking session and refreshments,Engineering/Maths/Physics,Network/Refreshments,12:30,13:30,Faculty Space STEM Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Games Design course talk,Media Arts & Comms,Subject Talk,11:00,11:30,Room 9231 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Games Design facilities tour,Media Arts & Comms,Tour,12:00,12:30,Start in Room 9231 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Games Design networking session with refreshments,Media Arts & Comms,Network/Refreshments,12:30,13:30,Cantor Cafe and Cantor Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Games Design taster session,Media Arts & Comms,Taster Session,11:30,12:00,Room 9231 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Information Technology top ups course talk,Computing,Subject Talk,11:00,12:00,Room 9315 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Information Technology top ups facilities tour,Computing,Tour,12:00,13:00,Room 9315 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Information Technology top ups networking session and refreshments,Computing,Network/Refreshments,13:00,13:30,Cantor Cafe and Cantor Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Journalism course talk,Media Arts & Comms,Subject Talk,11:00,11:30,Room 9130 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Journalism facilities tour,Media Arts & Comms,Tour,12:15,12:30,Start in Room 9205 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Journalism networking session with refreshments,Media Arts & Comms,Network/Refreshments,12:30,13:30,Cantor Cafe and Cantor Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Journalism taster session,Media Arts & Comms,Taster Session,11:30,12:15,Room 9205 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Materials Engineering course talk,Engineering/Maths/Physics,Subject Talk,11:00,11:45,Room 3104 Eric Mensforth Building,1,15/01/2021 10:23,15/01/2021 10:23
,Materials Engineering facilities tour,Engineering/Maths/Physics,Tour,11:45,12:30,Meet in Hertha Ayrton STEM Centre,1,15/01/2021 10:23,15/01/2021 10:23
,Materials Engineering networking session and refreshments,Engineering/Maths/Physics,Network/Refreshments,12:30,13:30,Faculty Space STEM Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Mathematics course talk and faculty related tour,Engineering/Maths/Physics,Subject Talk,11:00,12:30,Room 609 Norfolk Building,1,15/01/2021 10:23,15/01/2021 10:23
,Mathematics networking session and refreshments,Engineering/Maths/Physics,Network/Refreshments,12:30,13:30,Faculty Space STEM Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Mechanical Engineering course talk,Engineering/Maths/Physics,Subject Talk,11:00,11:45,Room 3021 Eric Mensforth Building,1,15/01/2021 10:23,15/01/2021 10:23
,Mechanical Engineering facilities tour,Engineering/Maths/Physics,Tour,11:45,12:30,Meet in Hertha Ayrton STEM Centre,1,15/01/2021 10:23,15/01/2021 10:23
,Mechanical Engineering networking session and refreshments,Engineering/Maths/Physics,Network/Refreshments,12:30,13:30,Faculty Space STEM Atrium,1,15/01/2021 10:23,15/01/2021 10:23
,Media course talk,Media Arts & Comms,Subject Talk,12:15,13:00,Room 9235 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Media facilities tour,Media Arts & Comms,Tour,12:00,12:15,Room 9235 Cantor Building,1,15/01/2021 10:23,15/01/2021 10:23
,Media networking session with refreshments,Media Arts & Comms,Network/Refreshments,12:15,13:30,Cantor Cafe and Cantor Atrium,1,15/01/2021 10:23,15/01/2021 10:23
